Weight,Temp,PA,TO Climb Rate,MCP Climb Rate,OEI Climb Rate
3000,-20,12000,997,997,-4
3000,-20,13000,904,904,-58
3000,-20,14000,811,811,-112
3000,-20,15000,718,718,-166
3000,-20,16000,624,624,-220
3000,-20,17000,531,531,-274
3000,-20,18000,437,437,-328
3000,-15,0,2070,1754,621
3000,-15,1000,1981,1754,568
3000,-15,2000,1890,1754,515
3000,-15,3000,1800,1754,462
3000,-15,4000,1709,1709,408
3000,-15,5000,1618,1618,355
3000,-15,6000,1526,1526,302
3000,-15,7000,1434,1434,248
3000,-15,8000,1342,1342,194
3000,-15,9000,1250,1250,141
3000,-15,10000,1157,1157,87
3000,-15,11000,1065,1065,33
3000,-15,12000,972,972,-21
3000,-15,13000,878,878,-75
3000,-15,14000,785,785,-129
3000,-15,15000,691,691,-183
3000,-15,16000,598,598,-237
3000,-15,17000,504,504,-291
3000,-15,18000,410,410,-345
3000,-10,0,2050,1732,606
3000,-10,1000,1959,1732,553
3000,-10,2000,1869,1732,500
3000,-10,3000,1777,1732,447
3000,-10,4000,1666,1686,393
3000,-10,5000,1595,1595,340
3000,-10,6000,1503,1503,286
3000,-10,7000,1410,1410,232
3000,-10,8000,1318,1318,178
3000,-10,9000,1225,1225,125
3000,-10,10000,1132,1132,71
3000,-10,11000,1039,1039,17
3000,-10,12000,646,946,-37
3000,-10,13000,853,853,-91
3000,-10,14000,759,759,-145
3000,-10,15000,665,665,-199
3000,-10,16000,571,571,-253
3000,-10,17000,477,477,-308
3000,-10,18000,383,383,-362
3000,-5,0,2029,1709,592
3000,-5,1000,1938,1709,538
3000,-5,2000,1847,1709,485
3000,-5,3000,1755,1709,431
3000,-5,4000,1664,1664,378
3000,-5,5000,1572,1572,324
3000,-5,6000,1479,1479,270
3000,-5,7000,1387,1387,217
3000,-5,8000,1294,1294,163
3000,-5,9000,1201,1201,109
3000,-5,10000,1108,1108,55
3000,-5,11000,1014,1014,1
3000,-5,12000,921,921,-53
3000,-5,13000,827,827,-107
3000,-5,14000,733,733,-162
3000,-5,15000,639,639,-216
3000,-5,16000,545,545,-270
3000,-5,17000,451,451,-324
3000,-5,18000,356,356,-378
3000,0,0,2008,1687,577
3000,0,1000,1917,1687,524
3000,0,2000,1825,1687,470
3000,0,3000,1733,1687,417
3000,0,4000,1641,1641,363
3000,0,5000,1549,1549,309
3000,0,6000,1456,1456,255
3000,0,7000,1363,1363,201
3000,0,8000,1270,1270,147
3000,0,9000,1177,1177,93
3000,0,10000,1083,1083,39
3000,0,11000,990,990,-15
3000,0,12000,896,896,-69
3000,0,13000,802,802,-123
3000,0,14000,708,708,-178
3000,0,15000,613,613,-232
3000,0,16000,519,519,-286
3000,0,17000,425,425,-340
3000,0,18000,330,330,-394
3000,5,0,1987,1665,563
3000,5,1000,1895,1665,509
3000,5,2000,1803,1665,456
3000,5,3000,1711,1665,402
3000,5,4000,1619,1619,348
3000,5,5000,1526,1529,294
3000,5,6000,1433,1433,240
3000,5,7000,1340,1340,186
3000,5,8000,1246,1246,132
3000,5,9000,1153,1153,78
3000,5,10000,1059,1059,23
3000,5,11000,965,965,-31
3000,5,12000,871,871,-85
3000,5,13000,777,777,-139
3000,5,14000,682,682,-193
3000,5,15000,588,588,-248
3000,5,16000,493,493,-302
3000,5,17000,399,399,-356
3000,5,18000,304,304,-410
3000,10,0,1966,1643,549
3000,10,1000,1874,1643,495
3000,10,2000,1782,1643,441
3000,10,3000,1689,1643,387
3000,10,4000,1596,1596,333
3000,10,5000,1503,1503,279
3000,10,6000,1410,1410,225
3000,10,7000,1316,1316,171
3000,10,8000,1223,1223,116
3000,10,9000,1129,1129,62
3000,10,10000,1035,1035,8
3000,10,11000,941,941,-46
3000,10,12000,846,846,-101
3000,10,13000,752,752,-155
3000,10,14000,657,657,-209
3000,10,15000,563,563,-263
3000,10,16000,468,468,-318
3000,10,17000,373,373,-372
